run_id,filepath,lines_parsed,parse_errors,birth,civil_war,death_battle,death_starvation,democratic_override,faction_formed,faction_merge,great_migration,holy_war,peace_incident,plague,promised_land,prophet,religion_founded,reverse_assimilation,schism,tech_civic,tech_discovered,tech_industrial,tech_martial,temple_built,treaty_broken,treaty_formed,war_declared,war_ends,world_event,war_resolution_rate,war_duration_mean,first_war_tick,first_tech_tick,first_writing_tick,disruptions_total,deaths_total,battle_death_fraction,dominant_era,era_shift,era_the_age_of_conflict,era_the_age_of_enlightenment,era_the_age_of_iron,era_the_age_of_ruin,era_the_age_of_sickness,era_the_crimson_years,era_the_golden_age,era_the_great_famine,era_the_long_peace
20260227_130002,./logs\run_20260227_130002.txt,1236245,0,2454,3,2708,1981,0,87,750,41,9553,0,16,21,26,193,0,884,1563,5758,3195,992,0,380,2959,192,617,218,3.214,0.4,90,18,18,107,4689,0.578,The Age of Iron,402,53,40,141,0,4,13,0,9,58
20260227_131015,./logs\run_20260227_131015.txt,1329801,0,2474,26,2732,2106,0,83,925,23,16132,0,22,14,44,215,0,1054,1736,6371,3447,1177,0,336,2665,194,567,207,2.923,0.3,111,18,18,129,4838,0.565,The Age of Iron,382,34,60,144,0,4,20,0,8,30
20260227_132516,./logs\run_20260227_132516.txt,1314101,0,2469,5,2478,3983,0,77,777,22,10878,0,15,43,36,186,0,973,1856,5799,3036,903,0,427,3055,175,540,216,3.086,0.3,110,18,23,121,6461,0.384,The Age of Iron,385,41,58,134,0,0,16,0,5,50
20260227_133741,./logs\run_20260227_133741.txt,1126016,0,2457,17,2660,2309,0,100,682,38,8383,0,37,16,12,175,0,848,1657,5737,3046,1025,0,378,2801,202,627,203,3.104,0.1,114,18,18,120,4969,0.535,The Age of Iron,427,52,51,155,0,7,16,0,3,66
20260227_134713,./logs\run_20260227_134713.txt,1469269,0,2468,5,2443,1145,0,96,804,12,9214,0,11,13,36,192,0,908,1590,5885,3256,1038,0,363,2998,186,542,214,2.914,0.2,90,18,23,77,3588,0.681,The Age of Iron,415,64,65,113,0,0,12,0,6,70
20260227_140036,./logs\run_20260227_140036.txt,1242134,0,2469,9,2552,1305,0,82,811,14,11084,0,39,31,40,187,0,908,1622,5702,2920,1148,0,412,2947,160,552,220,3.45,0.5,114,18,23,133,3857,0.662,The Age of Iron,436,44,69,155,0,4,12,0,12,45
20260227_141153,./logs\run_20260227_141153.txt,1816172,0,2464,22,2331,2082,0,101,610,31,5948,0,23,38,49,178,0,789,1565,5427,2820,1038,0,376,2907,204,594,194,2.912,0.6,115,18,18,163,4413,0.528,The Age of Iron,384,44,32,121,0,3,23,0,5,68
20260227_142150,./logs\run_20260227_142150.txt,1099665,0,2459,3,2015,1903,0,81,649,31,7380,0,17,47,27,192,0,787,1661,5518,2818,1038,0,355,3025,183,571,213,3.12,0.2,96,18,23,125,3918,0.514,The Age of Iron,409,33,61,114,0,0,15,0,12,86
20260227_143008,./logs\run_20260227_143008.txt,1420841,0,2469,10,2838,2084,0,105,859,32,12738,0,21,40,20,227,0,1045,2142,6638,3317,1175,0,395,3103,193,528,241,2.736,0.4,103,18,23,123,4922,0.577,The Age of Iron,429,37,37,181,0,6,18,0,5,52
20260227_144340,./logs\run_20260227_144340.txt,1261821,0,2467,0,2493,3509,0,90,798,12,12697,0,32,10,54,222,0,930,1625,6013,3358,1026,0,302,3154,169,620,247,3.669,0.2,114,18,18,108,6002,0.415,The Age of Iron,407,24,57,152,0,0,14,0,6,80
20260227_145534,./logs\run_20260227_145534.txt,1451408,0,2478,0,2942,2121,0,108,958,48,13838,0,41,22,39,233,0,1023,1698,6688,3843,1146,0,398,2919,196,671,253,3.423,0.5,123,18,19,150,5063,0.581,The Age of Iron,421,71,40,162,0,0,12,0,0,52
20260227_151052,./logs\run_20260227_151052.txt,1451905,0,2470,22,2787,2473,0,121,939,36,13650,0,29,0,66,212,0,969,1800,5860,3069,988,0,386,3108,190,659,244,3.468,0.1,96,18,24,153,5260,0.53,The Age of Iron,410,20,81,100,0,5,20,2,3,83
20260227_152549,./logs\run_20260227_152549.txt,2394150,0,2464,12,2360,1936,0,131,758,16,8285,0,12,39,21,174,0,841,1481,5153,2816,847,0,355,2842,178,445,193,2.5,0.4,155,18,18,100,4296,0.549,The Age of Iron,363,45,44,134,0,0,10,0,4,57
20260227_154111,./logs\run_20260227_154111.txt,1380762,0,2469,12,2774,2376,0,89,903,16,15450,0,44,22,65,214,0,999,1627,6295,3462,1198,0,415,2600,219,717,202,3.274,0.3,109,18,18,159,5150,0.539,The Age of Iron,431,61,27,127,0,7,32,0,30,67
20260227_155532,./logs\run_20260227_155532.txt,1041580,0,2442,0,1640,1938,0,71,605,15,4347,0,16,48,68,150,0,693,1415,5200,2654,1126,3,369,3150,129,355,221,2.752,0.8,111,18,18,147,3578,0.458,The Age of Iron,487,28,87,171,0,0,8,0,14,82
20260227_160225,./logs\run_20260227_160225.txt,1408302,0,2466,17,2662,1343,0,83,898,51,18073,0,20,44,56,256,0,977,1763,6231,3399,1065,0,352,2894,219,622,247,2.84,0.5,107,18,18,188,4005,0.665,The Age of Iron,465,65,58,166,0,8,17,0,5,61
20260227_161808,./logs\run_20260227_161808.txt,1534287,0,2452,8,2636,2263,0,66,847,31,17270,0,22,14,62,213,0,1007,1666,5936,3156,1112,0,421,2703,178,545,222,3.062,0.6,107,18,19,137,4899,0.538,The Age of Iron,446,59,67,127,0,4,23,0,5,69
20260227_163451,./logs\run_20260227_163451.txt,1538540,0,2466,13,2764,1708,0,124,1081,10,14833,0,9,10,52,223,0,1073,1816,6775,3723,1235,0,396,2939,176,604,219,3.432,0.3,130,18,33,94,4472,0.618,The Age of Iron,380,35,62,149,2,6,17,0,6,28
20260227_165055,./logs\run_20260227_165055.txt,1530014,0,2455,10,2736,2506,0,91,948,19,14818,0,12,28,47,209,0,1020,1909,5865,3032,917,0,339,2912,181,680,214,3.757,0.3,99,18,18,116,5242,0.522,The Age of Iron,434,45,74,135,4,4,20,0,3,64
20260227_170654,./logs\run_20260227_170654.txt,1583842,0,2472,15,2786,2449,0,78,856,44,11317,0,0,5,38,196,0,982,1832,6537,3320,1381,0,409,3170,185,520,213,2.811,0.2,116,18,18,102,5235,0.532,The Age of Iron,411,59,69,139,0,2,18,0,0,40
20260227_172212,./logs\run_20260227_172212.txt,1219732,0,2454,8,2952,1194,0,85,820,37,10300,0,30,33,8,212,0,922,1812,6218,3216,1185,0,440,3060,224,587,204,2.621,0.3,94,18,18,116,4146,0.712,The Age of Iron,422,63,74,139,0,0,18,0,11,39
20260227_173335,./logs\run_20260227_173335.txt,1364483,0,2446,21,2854,1247,0,88,814,22,11383,0,12,23,39,185,0,1019,2036,6178,2870,1267,0,414,2933,221,615,214,2.783,0.4,115,18,23,117,4101,0.696,The Age of Iron,447,50,77,189,0,2,25,0,2,14
20260227_174809,./logs\run_20260227_174809.txt,1527184,0,2467,5,2478,1505,0,100,870,24,12503,0,11,28,36,182,0,1016,1805,5955,2960,1184,0,342,2933,168,604,211,3.595,0.5,97,18,23,104,3983,0.622,The Age of Iron,417,25,60,128,0,6,24,0,2,87
20260227_180249,./logs\run_20260227_180249.txt,1364535,0,2461,16,2738,928,0,89,812,22,9672,0,8,14,62,181,0,920,1522,5926,3159,1244,1,406,3081,199,618,212,3.106,0.4,85,18,23,122,3666,0.747,The Age of Iron,421,46,34,137,3,3,20,0,2,69
20260227_181408,./logs\run_20260227_181408.txt,1165610,0,2467,0,2415,2274,0,98,720,37,6532,0,18,11,27,144,0,881,1862,6205,3147,1186,1,427,3365,181,539,205,2.978,0.4,99,18,23,93,4689,0.515,The Age of Iron,387,51,55,133,2,0,14,0,5,43
